sport,country,league
football,Chile,Super Cup
football,Cape Verde,Campeonato Nacional
football,Canada,Canadian Premier League
football,Canada,Championship
football,Canada,CSL
football,Canada,U Sports
football,Cameroon,Elite One
football,Cameroon,Elite Two
football,Cambodia,C-League
football,Burundi,Primus League
football,Burundi,Coupe du President
football,Burundi,Super Coupe
football,Burkina Faso,Premier League
football,Bulgaria,Parva liga
football,Bulgaria,Vtora liga
football,Bulgaria,Third League - South-East
football,Bulgaria,Third League - South-West
football,Bulgaria,Third League - North-East
football,Bulgaria,Third League - North-West
football,Bulgaria,Bulgarian Cup
football,Bulgaria,Super Cup
football,Brazil,Serie A
football,Brazil,Serie B
football,Brazil,Serie C
football,Brazil,Serie D
football,Brazil,Primeira Liga
football,Brazil,Campeonato Acreano
football,Brazil,Campeonato Alagoano
football,Brazil,Campeonato Amapaense
football,Brazil,Campeonato Amazonense
football,Brazil,Campeonato Baiano
football,Brazil,Campeonato Brasiliense
football,Brazil,Campeonato Capixaba
football,Brazil,Campeonato Carioca
football,Brazil,Campeonato Carioca B1
football,Brazil,Campeonato Catarinense
football,Brazil,Campeonato Cearense
football,Brazil,Campeonato Gaucho
football,Brazil,Campeonato Gaucho 2
football,Brazil,Campeonato Goiano
football,Brazil,Campeonato Maranhense
