sport,country,league,season,match_time,home_team,away_team,scraped_date
football,Ukraine,Youth League,2020/2021,30.04. 05:00,Zorya U21,Minaj U21,2020-12-15
football,Ukraine,Premier League,2020/2021,13.03. 07:00,Mariupol,Kolos Kovalivka,2020-12-15
football,Ukraine,Druha Liga,2020/2021,03.04. 07:00,Dnipro Cherkasy,Cherkashchyna,2020-12-15
football,United Arab Emirates,Division 1,2020/2021,01.01. 04:50,Al Hamriyah,Dibba Al Hisn,2020-12-15
football,Ukraine,Persha Liga,2020/2021,05.04. 07:30,Ch. Odessa,Prykarpattya,2020-12-15
football,Ukraine,Youth League,2020/2021,07.05. 05:00,Dnipro-1 U21,Zorya U21,2020-12-15
football,United Arab Emirates,UAE League,2020/2021,17.12. 06:00,Al Dhafra,Hatta,2020-12-15
football,Ukraine,Premier League,2020/2021,13.03. 07:00,Minaj,Inhulets,2020-12-15
football,Ukraine,Druha Liga,2020/2021,03.04. 07:00,Dunaivtsi,Chernihiv,2020-12-15
football,United Arab Emirates,Division 1,2020/2021,02.01. 04:50,Al Urooba,Al-Taawon,2020-12-15
football,Ukraine,Persha Liga,2020/2021,05.04. 07:30,Kremin,Veres-Rivne,2020-12-15
football,Ukraine,Youth League,2020/2021,07.05. 05:00,Dynamo Kiev U21,Mariupol U21,2020-12-15
football,United Arab Emirates,UAE League,2020/2021,17.12. 06:00,Bani Yas,Al Sharjah,2020-12-15
football,Ukraine,Premier League,2020/2021,13.03. 07:00,Oleksandriya,Olimpik Donetsk,2020-12-15
football,Ukraine,Druha Liga,2020/2021,03.04. 07:00,Mykolaiv 2,Balkany,2020-12-15
football,United Arab Emirates,Division 1,2020/2021,02.01. 04:50,Dibba Al Fujairah,Masfut,2020-12-15
football,Ukraine,Persha Liga,2020/2021,05.04. 07:30,Krystal,Alliance,2020-12-15
football,Ukraine,Youth League,2020/2021,07.05. 05:00,Inhulets U21,Lviv U21,2020-12-15
